Code status (F=full;S=semi),Year,Author,Title,Journal Title,ISBN/ISSN,DOI.URL,Abstract,Volume,Issue,Pages
F,2012,"Person, B.; Loo, J. D.; Owuor, M.; Ogange, L.; Jefferds, M. E. D.; Cohen, A. L.",It Is Good for My Family's Health and Cooks Food in a Way That My Heart Loves: Qualitative Findings and Implications for Scaling Up an Improved Cookstove Project in Rural Kenya,International Journal of Environmental Research and Public Health,1660-4601,10.3390/ijerph9051566,"The use of indoor, three-stone fire pits in resource-poor countries is a substantial burden on human health and the environment. We conducted a pilot intervention promoting the purchase and use of an improved cookstove in rural Kenya. The goals of this qualitative inquiry were to understand the motivation to purchase and use; perceived benefits and challenges of cookstove use; and the most influential promotion activities for scaling up future cookstove promotion. Purposive sampling was used to recruit 10 cookstove promoters and 30 cookstove purchasers in the Luo community. Qualitative semi-structured interviews were transcribed and a thematic analysis conducted. Women reported the need for less firewood, fuel cost savings, reduced smoke, improved cooking efficiency, reduced eye irritation, lung congestion and coughing as major benefits of the cookstove. Cost appeared to be a barrier to wider adoption. The most persuasive promotion strategies were interpersonal communication through social networks and cooking demonstrations. Despite this cost barrier, many women still considered the improved cookstove to be a great asset within their household. This inquiry provided important guidance for future cookstove implementation projects.",9,5,1566-1580
F,2008,"Pachauri, S.; Jiang, L.",The household energy transition in India and China,Energy Policy,03014215 (ISSN),10.1016/j.enpol.2008.06.016,"Both India and China are countries in energy transition. This paper compares the household energy transitions in these nations through the analysis of both aggregate statistics and nationally representative household surveys. The two countries differ sharply in several respects. Residential energy consumption in China is twice that in India, in aggregate terms. In addition, Chinese households have almost universal access to electricity, while in India almost half of rural households and 10% of urban households still lack access. On aggregate, urban households in China also derive a larger share of their total energy from liquid fuels and grids (77%) as compared to urban Indian households (65%). Yet, at every income level, Indians derive a slightly larger fraction of their total household energy needs from liquid and grid sources of energy than Chinese with comparable incomes. Despite these differences, trends in energy use and the factors influencing a transition to modern energy in both nations are similar. Compared with rural households, urban households in both nations consume a disproportionately large share of commercial energy and are much further along in the transition to modern energy. However, total energy consumption in rural households exceeds that in urban households, because of a continued dependence on inefficient solid fuels, which contribute to over 85% of rural household energy needs in both countries. In addition to urbanisation, key drivers of the transition in both nations include income, energy prices, energy access and local fuel availability. © 2008 Elsevier Ltd. All rights reserved.",36,11,4022-4035
F,2012,"Ortiz, W.; Dienst, C.; Terrapon-Pfaff, J.",Introducing modern energy services into developing countries: the role of local community socio-economic structures,Sustainability,2071-1050,http://dx.doi.org/10.3390/su4030341,"Sustainable energy technologies are widely sought-after as essential elements in facing global challenges such as energy security, global warming and poverty reduction. However, in spite of their promising advantages, sustainable energy technologies make only a marginal contribution to meeting energy related needs in both industrialised and developing countries, in comparison to the widespread use of unsustainable technologies. One of the most significant constraints to their adoption and broad diffusion is the socio-economic context in which sustainable energy technologies are supposed to operate. The same holds true for community-based energy projects in developing countries supported by the WISIONS initiative. Practical strategies dealing with these socio-economic challenges are crucial elements for project design and, particularly, for the implementation of project activities. In this paper experiences from implementing community-based projects are reviewed in order to identify the practical elements that are relevant to overcome socio-economic challenges. In order to systematise the findings, an analytical framework is proposed, which combines analytical tools from the socio-technical transition framework and insights from participative approaches to development.",4,3,341-358
F,2018,"Mudombi, S.; Nyambane, A.; von Maltitz, G. P.; Gasparatos, A.; Johnson, F. X.; Chenene, M. L.; Attanassov, B.","User perceptions about the adoption and use of ethanol fuel and cookstoves in Maputo, Mozambique",Energy for Sustainable Development,09730826 (ISSN),10.1016/j.esd.2018.03.004,"Ethanol has been proposed as a clean cooking fuel to reduce the use of charcoal in urban and peri-urban households in sub-Saharan Africa (SSA). This could have the twin benefits of reduced impacts on human health and deforestation. The aim of this study is to better understand the barriers to the uptake of ethanol stove technologies by eliciting users' perception, adoption, and use patterns of ethanol stoves. The study was undertaken in Maputo, a city that was the focus of the first large-scale commercial ethanol stove project in Africa. A mixed-methods approach was adopted using both quantitative (N = 341 household interviews) and qualitative methods (5 focus group discussions, expert interviews). Ethanol stoves are currently used by about 17% of the surveyed households, while approximately 12% had discontinued its use and 71% never used it. While a large proportion of ethanol users compared the stove favourably against charcoal in terms of cooking time, convenience, cleanliness, and easiness to use, ethanol use seems to have diminished compared to charcoal. Ethanol seems to have replaced other clean cooking technologies such as electricity or LPG rather than charcoal. High ethanol fuel prices combined with low fuel quality and accessibility, as well as stove malfunctions due to poor design influenced many ethanol stove adopters to quit it. For the effective uptake of ethanol, it will be necessary to address the factors that tend to discourage its use, particularly its high initial and operational cost, poor fuel quality, unreliable fuel supply, and poor stove design. Although clean cooking fuels might not be attractive to users due to affordability and failure to meet user preferences, awareness raising campaigns that target potential users should emphasise the associated health and safety benefits of clean cooking fuels. © 2018 International Energy Initiative",44,,97-108
F,2015,"Lee, S. M.; Kim, Y. S.; Jaung, W. G.; Latifah, S.; Afifi, M.; Fisher, L. A.","Forests, fuelwood and livelihoods-energy transition patterns in eastern Indonesia",Energy Policy,0301-4215,10.1016/j.enpol.2015.04.030,"The central thesis of the energy ladder model is a unidirectional transition from primitive to advance fuel with increased affluence of households. Although now largely discredited, this assumption remains a foundation of laissez-faire policies that anticipate energy transition resulting spontaneous forest recovery with economic development. Our results suggest that such policies can undermine broader policy objectives and actually worsen forest conditions in rural Indonesia. Based on a case study of forest margin communities in eastern Indonesia, we demonstrate that fuel subsidy reform did little to reduce rural household demand for fuelwood, while dramatically increasing fuelwood demand for processing agricultural products. Our results show how household decisions related to fuel sources are affected by non-economic considerations and external factors, such as opportunities to sell fuelwood. We argue that policy interventions that encourage energy transition of households do not necessarily improve forest conditions, as household fuelwood use may be a symptom, rather than a driver of deforestation and forest degradation. Thus policies to improve forest conditions should focus more on addressing the market environment of forest-margin communities, providing energy alternatives to small industries that are often the larger consumers of fuelwood. (C) 2015 Elsevier Ltd. All rights reserved.",85,,61-70
F,2017,"Keese, J.; Camacho, A.; Chavez, A.",Follow-up study of improved cookstoves in the Cuzco region of Peru,Development in Practice,0961-4524,http://dx.doi.org/10.1080/09614524.2017.1257565,"Approximately three billion people use traditional biomass cookstoves. These stoves contribute to indoor air pollution, notably affecting women and children, and to deforestation and climate change. Improved cookstoves have been offered as a solution, but low rates of adoption are common among stove programmes. This paper is a follow-up study of a stove programme run by the NGO Proworld Service Corps in Cuzco, Peru. A survey was administered in 43 households in three communities. The results indicate an adoption rate of 70% and identify the characteristics of the stoves that contribute to their adoption and sustained use.",27,1,26-36
F,2012,"Jan, I.",What makes people adopt improved cookstoves? Empirical evidence from rural northwest Pakistan.,Renewable and Sustainable Energy Reviews,13640321 (ISSN),10.1016/j.rser.2012.02.038,"Large dependence of the world population on biomass fuels for domestic energy consumption is one of the major anthropogenic causes of deforestation worldwide. The use of biomass in inefficient ways in rural areas increases fuelwood demand of a household. Development of the improved biomass stove programs in the 1970s has been one of the efforts to reduce burden on biomass resource base through reliable and efficient methods of energy consumption. However, despite having multiple economic, social, environmental, and health benefits; the improved stove dissemination programs failed to capture worldwide recognition. A wide array of socio-cultural, economic, political, and institutional barriers contributes to the low adoption rate of such programs. Drawing on field work surveys in rural northwest Pakistan, this paper provides empirical evidence of individual, household, and community level variables that play a vital role in the adoption of improved cookstoves. The study is based on primary data collected from 100 randomly selected households in two villages of rural northwest Pakistan. Using regression analysis, the study depicts that education and household income are the most significant factors that determine a household willingness to adopt improved biomass stoves. The study concludes that the rate of adoption could substantially be improved if the government and non-governmental organizations (NGOs) play a greater role in overcoming the social, economic, cultural, political, and institutional barriers to adopting improved cooking technologies. © 2012 Elsevier Ltd. All rights reserved.",16,5,3200-3205
F,2016,"Jagger, P.; Jumbe, C.",Stoves or sugar? Willingness to adopt improved cookstoves in Malawi,Energy Policy,0301-4215,https://doi.org/10.1016/j.enpol.2016.02.034,"Malawi has set a target of adoption of two million improved cookstoves (ICS) by 2020. Meeting this objective requires knowledge about determinants of adoption, particularly in rural areas where the cost of traditional cooking technologies and fuels are non-monetary, and where people have limited capacity to purchase an ICS. We conducted a discrete choice experiment with 383 households in rural Malawi asking them if they would chose a locally made ICS or a package of sugar and salt of roughly equal value. Six months later, we assessed adoption and stove use patterns. Sixty-six percent of households chose the ICS. We find that having a larger share of crop residues in household fuel supply, awareness of the environmental impacts of woodfuel reliance, time the primary cook devotes to collecting fuelwood, and peer effects at the village-level increase the odds of choosing the ICS. Having a large labor supply for fuelwood collection and experience with a non-traditional cooking technology decreased the odds of choosing the ICS. In a rapid assessment six months after stoves were distributed, we found 80% of households were still using the ICS, but not exclusively. Our findings suggest considerable potential for wide-scale adoption of low cost ICS in Malawi.",92,,409-419
F,2019,"Jagger, P.; Das, I.; Handa, S.; Nylander-French, L. A.; Yeatts, K. B.",Early Adoption of an Improved Household Energy System in Urban Rwanda,EcoHealth,16129202 (ISSN),10.1007/s10393-018-1391-9,"Cooking with solid fuels and inefficient cookstoves has adverse consequences for health, environment, and human well-being. Despite the promise of improved cookstoves to reduce these impacts, adoption rates are relatively low. Using a 2-wave sample of 144 households from the baseline and first midline of an ongoing 4-year randomized controlled trial in Rwanda, we analyze the drivers and associations of early adoption of a household energy intervention marketed by a private sector firm. Households sign an annual contract to purchase sustainably produced biomass pellets and lease a fan micro-gasification cookstove with verified emissions reductions in laboratory settings. Using difference-in-differences and fixed effects estimation techniques, we examine the association between take-up of the improved cooking system and household fuel expenditures, health outcomes, and time use for primary cooks. Thirty percent of households adopted the pellet and improved cookstove system. Adopting households had more assets, lower per capita total expenditures and cooking fuel expenditures, and higher per capita hygiene expenditures. Households with married household heads and female cooks were significantly more likely to adopt. Adjusting for confounders, we find significant reduction in primary cooks' systolic blood pressure, self-reported prevalence of shortness of breath, an indicator of respiratory illness, time spent cooking, and household expenditures on charcoal. Our findings have implications for marketing of future clean fuel and improved cookstove programs in urban settings or where stoves and fuel are purchased. Analysis of follow-up surveys will allow for estimation of long-term impacts of adoption of interventions involving pellets and fan micro-gasification cookstoves. © 2019, EcoHealth Alliance.",16,1,Jul-20
F,2017,"Hafeez, A. S. M. G.; Roy, D. R.; Majumder, S.; Mitra, S.",Adoption of biogas for household energy and factors affecting livelihood of the users in rural Bangladesh,"9th ASAE International Conference: Transformation in agricultural and food economy in Asia, 11-13 January 2017, Bangkok, Thailand. Proceedings",,,"Domestic energy insecurity is a major threat to sustainable development in a developing country like Bangladesh. The present study aimed at estimating the factors that affect adoption of biogas plant and analysing the factors responsible for the improvement of livelihoods of the biogas users. The study was based on primary data collected from randomly chosen 50 biogas user households and 30 non users in Ghatail and Fulbaria upazilas (sub district) of Tangail and Mymensingh district respectively. Required data were collected adopting direct farm survey method during January to February, 2015. Binary logistic regression model was used to analyse the data. The findings of the study reveal that education, income, farm size, number of cattle and cost of fuel were positively associated with the adoption of biogas technology. The major findings of the logistic regression showed that respondents having education over 8 years had 20.78 times more possibility of adopting biogas technology than tthose who had education less than 8 years of schooling. The probability of adopting biogas plant by a household owning land above 0.60 hactare was 7.31 times higher than those households owning land less than 0.60 hactare. The results of the logistic regression model fitted for livelihood improvement revealed that a biogas user who supplied gas to other consumer is 11.66 times more likely to achieve moderate improvement in livelihood than the user who could not supply gas to other consumer. The findings also showed that environmental and econmic factors were the two vital factors influencing the adoption of biogas. This study highlighted on the strategies such as organizing training, publicity program, motivational activities on biogas technology; encourage more educated people to adopt biogas technology and expanding subsidy and loan provision, extending period of loan repayment to increase the likelihood of adopting biogas plants.",,,1642-1661
F,1997,"Foley, G.; Floor, W.; Madon, G.; Lawali, E. M.; Montagne, P.; Tounao, K.",The Niger household energy project: promoting rural fuelwood markets and village management of natural woodlands,World Bank Technical Paper,0253-7494; 0-8213-3918-4,0,"The paper details the rationale, history, and prospects for an innovative energy strategy where the government of Niger has given village communities control over their natural woodlands in return for a commitment to manage the woodlands and the production of fuelwood sustainably. After a nontechnical summary of the project and its results to the end of 1995, the paper describes the local physical and socioeconomic conditions, with particular attention to the ""tiger bush"" that forms much of Niger's natural woodland. Chapter 2 treats the background of fuelwood interventions, which began in response to the Sahelian drought of 1974 but were abandoned as impractical, and gave way to the more systematic examination of existing resources by the World Bank Energy Sector Management Assistance Programme team and their use by the Household Energy Project, as described in chapter 3. The supply component of a new wood fuels strategy centred around the idea of the rural fuelwood market and sustainable management of wood fuels. The practical and legal aspects of the project's implementation after its official launch in 1989 are discussed in chapter 4. Chapter 5 presents some measures of the project's achievements and difficulties; at present, about 16% of Niger's urban fuelwood supply comes from sustainably managed areas. Chapter 6 considers how the project might be expanded during Phase II.",,362,xviii-pp
